date,hippo,course,cheval,jockey,cote,probabilite_top3,prediction,realite
2014-06-08,Montauban,17,Ferrari Haleryd,Y. Jublot,0.0,0.9881241443491401,1,0
2015-06-17,Ascot,20,Rosealee,F. Tylicki,41.0,0.6203435455985594,1,0
2019-02-06,Pornichet,16,Santa Rock,Mlle M. Eon,16.0,0.11725234198993906,0,0
2019-06-22,Ayr,14,Dragon Mountain,J. Sullivan,0.0,0.999769479705759,1,0
2017-11-15,Marseille-Borély,16,Bulle de Laumont,S. Cingland,2.6,0.598431298612503,1,1
2017-04-19,Fontainebleau,6,Oficial,D. Cottin (s),6.3,0.12652125406182296,0,0
2017-04-21,Naples,14,Victor Dany Grif,S. Minopoli,0.0,0.9999794198558692,1,0
2023-07-09,Montmirail,12,Jasmine du Vif,JC. Audran,0.0,0.9708776145783402,1,1
2017-09-29,Haydock,11,Silvery Moon,D. Allan,0.0,0.9999616639299191,1,1
2017-03-10,U.A.E - Al Ain,15,Call des Ages,Réserviste 3,0.0,0.9999926812083705,1,0
2022-07-01,Bellewstown,13,Zerinda,D. Mc Monagle,0.0,0.9999832380489021,1,0
2020-12-26,Rome,8,Caceres,D. Di Stefano,0.0,0.999955372919164,1,0
2021-07-12,Bjerke,12,C.C.Eastside,O. Mikkelborg,41.0,0.19872557190829276,0,0
2016-09-25,Solvalla,12,Greece Boko,J. Kontio,0.0,0.9999869840405126,1,0
2022-04-11,Boden,13,Star Rose,P. Joki,0.0,0.9999773137765382,1,0
2019-04-14,Nakayama,18,Nishino Daisy,M. Katsuura,0.0,0.9999926812083705,1,0
2016-02-25,Meknes,8,Al Jasfi,T. Teouil,0.0,0.9999909182121722,1,0
2019-02-04,Marseille-Vivaux,12,Jeremiade,Mlle C. Pacaut,3.3,0.3110940212783861,0,0
2016-05-01,Sha Tin,12,Bow Creek,Z. Purton,77.0,0.5791776882387646,1,0
2020-07-12,Ostersund,10,Fräcke Prins,ME. Djuse,0.0,0.9999333569448011,1,1
2020-03-24,Clonmel,12,Lacken Bridge,R. Treacy,0.0,0.9998522179391284,1,0
2021-04-18,Cologne,11,Rajguru,L. Wolff,2.5,0.5913767710926058,1,1
2017-04-29,Naples,14,Tintoretto Grif,S. Mineo,0.0,0.9999332380443549,1,0
2019-08-25,Beaumont-de-Lomagne,18,Damona la Binolais,N. Mathias,86.0,0.13702954795946576,0,0
2017-12-08,Rome,8,Vain,A. Simioli,0.0,0.9998023202111326,1,0
2023-01-08,U.A.E - Meydan,16,City King,O. Chavez,0.0,0.9988943171012413,1,0
2014-06-08,Auteuil,16,Le Château,E. Chazelle,11.0,0.13740411678246917,0,0
2017-12-10,Toulouse,13,Showtime Star,V. Seguy,5.3,0.2788661701437085,0,1
2017-07-21,Cesena,8,Vlakteplaas Jbay,A. Di Nardo,0.0,0.9999364349849742,1,1
2023-12-14,Paris-Vincennes,14,Lovely Chenevière,V. Saussaye,41.0,0.04405956964128196,0,0
2019-03-27,Kempton,9,Bolt N Brown,Mlle J. Gordon,0.0,0.9996959590999126,1,1
2018-07-15,Luçon,13,Comète de Glatigné,M. Fribault,0.0,0.9837639473763187,1,0
2022-06-21,Sligo,9,Hands Down,J. Coen,0.0,0.9999572680395427,1,0
2022-08-24,Baden,7,Rolando Venus,Mme N. Reisenbauer,18.0,0.10517189917796826,0,0
2015-05-22,Casablanca,8,Vacationer,G. Rivases,2.1,0.9150728967867201,1,1
2019-03-05,Axevalla,13,Sweet Boy,MA. Linderoth,0.0,0.999931444881859,1,1
2023-02-08,Bjerke,9,Revenue Lavec,LA. Kolle,0.0,0.9864181591239918,1,0
2015-10-06,Leicester,8,Shadow Rock,J. Fortune,8.3,0.5254727488590969,1,0
2020-09-16,Solvalla,12,Muzzle The Yakker,P. Lennartsson,0.0,0.9999473624234172,1,0
2018-02-14,Rome,13,Zara Jet,D. Battistini,0.0,0.9995770088888805,1,0
2020-12-30,Paris-Vincennes,14,Feria du Metz,E. Clozier,75.0,0.09435157349429976,0,1
2020-07-24,Cork,13,Annie G,D. Roche,0.0,0.9999367044036497,1,0
2015-10-11,Toulouse,15,Tando Barbés,F. Marty,112.0,0.09531557101884106,0,0
2020-11-15,Gavea,7,Capitao Barbosa,H. Fernandes,0.0,0.9945318225883071,1,0
2023-01-15,Baléares - Mao,9,Falucho M,O. Mata Segui,0.0,0.9999544631513841,1,0
2014-06-15,Merano,8,Mazhilis,J. Vana Jr,0.0,0.9999817604698871,1,1
2023-02-05,Sha Tin,14,Invincible Missile,H. Bentley,92.0,0.8356257509507463,1,0
2023-01-16,Hereford,10,Cilaos Glace,T. Cannon,0.0,0.9999113406005534,1,0
2018-12-31,Bjerke,12,Finnskog Lux,H. Kulblik,0.0,0.9998817669830128,1,1
2021-01-24,Lingfield,6,Genuine Approval,A. Kirby,0.0,0.9999850106924478,1,0
2021-01-13,Toulouse,10,Héroïne d'Em,V. Saussaye,42.0,0.0854979978295857,0,0
2022-05-07,Rome,9,Abracadabra Effe,M. Minopoli Jr,0.0,0.9999361672062977,1,1
2014-09-07,Craon,18,Riquewihr,Y. Dreux,50.0,0.11132750545753925,0,0
2017-07-23,Montier-en-Der,12,Elitist Game,E. Devenne,0.0,0.9966406812110925,1,0
2021-01-24,Baléares - Mao,8,United Kingdom,DI. Bosch Moll,0.0,0.9999899298231619,1,0
2014-12-01,Paris-Vincennes,13,Bere Novo,Mlle M. Grolier,73.0,0.08243300030097349,0,0
